Araç Markası,ingilizce_yorumlar
hyundai,"There is a 2017 mode plus 1 6 diesel automatic, I have been using it for two months, the engine and transmission are absolutely beautiful, in the city 6 3- out of town 4 4 in mixed use, it burns 5 5 great, if you say the suspensions are hard, you can use 195/60/16 tires I am 50 to 55 I had it removed, the car softened when I bought new tires on the sidewalls, the only thing missing is the hardware, so I broke 1 point"
hyundai,I just bought a 2022 1 4 style bayon. I went on a long journey with cruise control and a very reasonable fuel level.
hyundai,Why can't 10 engines be delivered?
hyundai,"2021 model elite package I am a gasoline i20 user with 1 4mpi 100 hp engine, the vehicle currently burns 6 8lt fuel in the city, travels 40km a day, the equipment is very good for a b segment vehicle, the case looks small from the outside, the interior volume of the vehicle is very successful compared to the outside, its contribution to production from here I would like to thank all our engineers, after all, I would recommend them to those who are considering buying a domestic production vehicle."
hyundai,I would appreciate if you write the traffic inspections of the bay once every 2 years.
hyundai,Is the atmospheric engine left? is it that hard to install a turbo?
hyundai,"2014 model h100 price, can you tell me what you need to sharpen it's very urgent"
hyundai,Is this vehicle a 2022 model? How can we reach it?
hyundai,"I also bought the elite package yesterday, I will receive it next week with the best, I hope"
hyundai,Would you recommend it to steile?
hyundai,"hello, a vehicle I passed from polo bayon style + directions uphill, high level luggage volume ergonomics good rear passenger living space and comfort good driving pleasure good multimedia access one of the good cars, I think it's a great vehicle in terms of equipment"
hyundai,"Is there a difference between elanra dcvvt and mpi, is there a fuel etc. also there is an event that it is kept more"
hyundai,"They say that the 1 4 bayon is bulky, there is a 17 inch rim on it, since the vehicle has a high SUV under it, I think if the tire is reduced, for example, if a 15 inch rim tire is installed, both the six will save and the vehicle will become serial, I think has anyone tried it this way?"
hyundai,"nice car, if the part is produced, I will buy it zero"
hyundai,"Well, I also asked the island of the passing heart, the prices went up a lot, but when I really stepped on the gas and the walking brake, I forced it a bit in the test, which was the type that stopped instantly. It went up to 7 7 5 and half, but this way, if I had gassed in my captur, it wouldn't have gone below 10. I haven't seen a small SUV that can turn the Mediterranean coast road with 110 before."
hyundai,"I saw one today, the engine sound and looks are great, it would be great if they made an automatic"
hyundai,"It says 1 4 mpi engine, is it tube compatible?"
hyundai,"I bought the 2021 style package brand new, now I have lovato lpg installed at 6500 km at 1500 km, if you know how to drive an atmospheric car, the car goes great on the flat and on the ramp, there is no loss of performance due to lpg, the road holding is very good, the interior is very wide, the only problem isolation could be better I am very satisfied with the car, I have traveled 150 km between Yalova and Izmit, 130 TL LPG burned, the air conditioner is on and I generally recommend it to friends who will take my speed between 100-120 comfortable car"
hyundai,Would you recommend 2012 model automatic diesel crdi elite?
hyundai,"I have been using it for 2 years in this segment, it is very nice, very enjoyable and it is impossible to regret buying a quality car, the screen data on the fuel issue of this vehicle is not correct, the screen was showing 6 kt, 5 5 lt output with tank filling. Between 120-130 kmh and Kocaeli-Ankara 70-110 kmh I landed from Kocaeli to Antalya Olşmposa, when the screen was 5 6 lt, when I filled the tank and calculated, 4 7 came out, by the way, these are the usage values ​​for the air conditioner."
hyundai,"hello, i have 2016 i20 jump."
hyundai,"Someone compared the car to golf there, so you don't understand the car, so don't worry about it for nothing."
hyundai,"I came with the i20, the same engine between istanbul and mersin, the average speed is between 130-160 km, the fuel is on average 7 8 roads 1000 km the vehicle is at 4000"
hyundai,"I received it on January 17, 2022. I almost gave up on buying because of the comments made by swallowing it."
hyundai,"I bought the vehicle as new 10 days ago and I am very satisfied. It is unreasonable for me to pay 150-200 thousand liras more because it will burn less. Even a car with a very full style package is better than VW's in terms of comfort and spaciousness. It's 2000 km. When I do it, the extra-urban fuel consumption is around 5 5 liters at a speed of 110-120 km/h, and for the city, I stay in an area where there is not much stop-start and it appears to be around 7 5 liters for now on the on-board computer."
hyundai,istanbul city is at least 6 7 lt/100km outside the city average 100km/h speed with 5 people I saw 6 4 lt/100km vehicle 1 4 atmospheric elite model other than that stop and go I see 12-13 in traffic
hyundai,"Don't let the fuel consumption of the vehicle mislead you after 5-6 thousand uses, look at the fuel consumption values, clean car, even the middle package has almost every feature, there is no lane tracking etc."
hyundai,"I have it since 1 year. I can hardly go 300 km with a tank of gasoline. Are there any bayon users who went to the service about it at the city level 12 13 and got a solution, friends?"
hyundai,"I own the i20 2021 style plus 10 t gdi. What I have to say for those who will buy the car is shock absorption in the car, there is nothing for my comfort, the road noise is very bad, the car has sweet and nice equipment, some of them are not at the top of the b segment, I don't like them at all as sunroof wireless charging and handling. due to one stone, the wheel is directly disconnected from the road, it slides directly, it seems to be successful in the slalom test, there is no such thing, dimensions 215/45/17 hankook vp3"
hyundai,"I bought a 2018 model i10 1 0 engine and manual gear vehicle. I bought 4 tires 4 rims elite package rims just like I bought it at 48 thousand in March, I installed prins eco max kit and pearl battery and it didn't click until now. As for the pros and cons;"
hyundai,it's not worth it
hyundai,"hello, I bought my 1 4 style car in February, so far I have done 9500 kilos, I am very satisfied in terms of fuel handling and performance."
hyundai,"I bought the bayon elite in may 2022. The launch color is green, it hooked me at first sight. I think it is the most optimal car in this price range with its bayon usage features and appearance. I would like to give an example for very quiet and comfortable fuel consumption; I use it between silivri ataturk airport; so there is both the city and the average speed between the cities is 90 km and my consumption is 5 5 soft I love my car and I recommend it to have accident-free and clear roads"
hyundai,"There is a nice screen in the car, but the navigation is not installed. Saving a few hundred liras of navigation software is ridiculous. How can I solve the navigation problem?"
hyundai,"I can find 10 engines in turkey and the list price is 526 thousand, the owner writes 700 TL on the contact."
hyundai,"the factory says on average 6 6 you are talking about the 5s, especially the factory writes the lowest, how does it burn 5 5 in the city 9s"
hyundai,"Friends, I have a question, I have a good 3210 gasoline automatic vehicle, it cuts off the electricity while on the road."
hyundai,"I use 2015 blue, I think I would recommend a tool that appeals to me in every aspect."
hyundai,"I've been using it for 1 year, its comfort and fuel ideal middle package (even the style is more full than many vehicles, sunroof rear view camera rain headlight sensor wireless charging apple car play is better than many vehicles when compared to its price"
hyundai,"I bought it in February, it's a very good vehicle in Denizli, the gear shifts are perfect in every sense, it burns 6 6 in the city, the trip computer shows 6 4, the intercity 5 1 burns, if you find it, the price performance is exactly"
hyundai,good day 2017 1 6 gdi elite plas red i have a lot of car handbrake changed twice they covered the first one under warranty I paid the second one now there is a problem with the exhaust muffler the car has a problem like this at 30 000 km can you please write
hyundai,"friends, I will buy 2022 zero prime plus, but gasoline is very fuel, I wonder if anyone with clear information can help me because diesels want a difference of around 300 000, which is reasonable as someone who makes 5000 km a year"
hyundai,there is no useful information for the buyer engine volume price case volume fuel amount we need these
hyundai,"I saw the vehicle in the showroom today, its equipment is quite adequate, but the fuel consumption is excessive compared to a vehicle of this generation, I think the vehicles of this segment are almost 2 times the factory data of models such as caravelle vito renault trafic citroën jumpy 11 1 extra-urban 8 6 lt fuel consumption of an engine of this time I guess this issue was not considered at all during the design of the vehicle, which is more than the amount of fuel that needs to be burned."
hyundai,"looks like vito zafira but engine 2 2 engine fuel looks too high there is only one photo of it, seats inside"
hyundai,why don't you make a fiat list like a man
hyundai,where is zero
hyundai,"Among the SUVs, I think it's one of the best in terms of design, especially 2017, which is very beautiful."
hyundai,I will buy hyundai i20 1.4 style and style plus automatic at which dealer
hyundai,"They say 2016 or 2018 is being held, which one should I buy, mod plus or prime package? 1 6 crdi, which one is the most full?"
hyundai,How much salary should one get to buy this vehicle?
hyundai,"Don't take the back of the car, it says me, I've never seen such a bad design, the old cases are nicer than this in terms of external appearance."
hyundai,"vehicles are very nice, it would be nice if they were a hood piece, taillights, mirror bumper, where to find them, good day, volant, it's very expensive, if the part is cheap, it's a nicer vehicle than a mercedes, we do school bus"
hyundai,"I watched the videos, I liked it, but I can't find out the zero price, how much is it from the net?"
hyundai,"they answer the phone as there is no car in the dealers, how is it that the prices have gone up, he turns the car back saying there is no car at the moment"
hyundai,"a vehicle style with a lot of fuel consumption can be beautiful, but it is not a car of its price, ford and hyundai remain in the class in terms of fuel consumption in both diesel and gasoline classes."
hyundai,"It's been 1 month since I bought the vehicle. Comfort color (the beach gray look looks very cool, I am very satisfied with the vehicle, it is a very good vehicle for its price, I would definitely recommend it"
hyundai,"I don't think you can buy this car, it's better to buy an i10."
hyundai,a super vehicle
hyundai,"color options are very nice, it is a complete long-distance vehicle"
hyundai,"The design is not very nice, I think I don't know how about the hardware, but it's good for the price."
hyundai,very cute and useful car
hyundai,I would recommend it to anyone with a pleasant drive and good performance.
hyundai,"I didn't like the insulation, other than that it's okay"
hyundai,"I think it deserves this price with its design, interior design and performance."
hyundai,hyundai is the newest and one of the smallest suvs in the series
hyundai,Since its design is a very remarkable vehicle and its price is also suitable
hyundai,"interior design is very nice, the price of a car is affordable"
hyundai,"In terms of design and comfort, the vehicle can be preferred with very high quality."
hyundai,A sedan vehicle most preferred by drivers
hyundai,"I was really pleased with the interior comfort of the road holding, if you are considering an SUV from my vehicle, you will not regret it."
hyundai,"It was a tool that I was very comfortable with in terms of hardware and quality, and also in terms of use at a really high level."
hyundai,"The car is very comfortable, I did not have any problems on the long road and the price is very affordable compared to other SUVs."
hyundai,It is very expensive so it is not in my preferences.
hyundai,"I equated it with Kona, the price is affordable and it does not sound inside"
hyundai,"I am looking for a brand new i20 style 1 4 vehicle, which dealers have this vehicle, can you help me?"
hyundai,slm hayirli works hyudai hybrid diesel and gasoline one and one kona full automatic gearbox zero car how many lira I mustafa blenda maililm; Can you send it to my [email protected] address?
hyundai,"I use the diesel automatic one, I am very satisfied"
hyundai,can i get it on the report
hyundai,proper tool i have used before
hyundai,"give the most suitable one among the suv vehicles, a preferred vehicle"
hyundai,an affordable vehicle
hyundai,The colors of the car are beautiful and the price is reasonable.
hyundai,nice design but expensive
hyundai,"interior and exterior comfort is very nice, but the car is very expensive"
hyundai,"also suitable as a comfortable, high-quality, economical fuel"
hyundai,both cheap and comfortable fuel
hyundai,the price is a bit expensive but the design is very nice
hyundai,It has a very nice appearance from the outside.
hyundai,What do you think about the hyundai 2021 i20 style 1 4 mpi manual gearbox? would you choose it instead of jump manual or is it jump automatic or style manual?
hyundai,"I bought a 2019 model tucson, the car makes a lot of noise inside, what is the reason for this?"
hyundai,"if there is zero, what is the price"
hyundai,"I just bought the car, but the seat heating was working too late, the service was also interested, other than that, it's a very nice vehicle."
hyundai,"I'm thinking of buying friends, but can you let me know, we can't reach the dealers"
hyundai,"For the purposes of its class, it is a vehicle with a very large interior volume."
hyundai,very good for performance
hyundai,i like it just for me
hyundai,very good like car machine
hyundai,"It is a large and spacious car, I am very satisfied"
hyundai,2021 elantra elite plus 472000 tl
hyundai,"I bought the hyundai elite diesel hybrid model from antalya cangars, first of all, I was very hesitant, now it is 3 200 km, road holding acceleration, silence, technical equipment and fuel-performance, practicality and agility in urban use, that is, in one word, this vehicle is not a premium class vehicle, but it is definitely a comfort close to it. it feels like the average so far is 5 2 liters I hope this will decrease as the engine opens"
hyundai,"I bought elantra style package manual 2 months ago, I am very satisfied, I recommend"
hyundai,how much is a double cabin
hyundai,the tool is very useful i am glad i bought it
hyundai,this vehicle is not worth much in terms of price
hyundai,"I want to buy friends, can you let me know, is there anyone using it?"
hyundai,the vehicle skids a lot
hyundai,"A vehicle that is no different from the 3008, so go get it."
hyundai,"hello, does anyone have information about the fuel consumption of the new tucson 1 6 comfort gasoline vehicle?"
hyundai,"Gasoline is not worth 5 cents, don't buy it, I bought it for your money, but I am not satisfied at all"
hyundai,"On the way from Ankara to Kayseri, I completed it with 5 5 lt/100 km. I used 6 forward gears on the slopes from time to time along the road. de 5 5 lt what can be better than this"
hyundai,"1 4 mpi automatic at style (I'm thinking of buying gasoline, I'm not someone who likes speed and exceeds speed limits, I wonder if the vehicle is bulky when going uphill?"
hyundai,hyundai i30 new price how much
hyundai,"It is a comfortable vehicle with reasonable fuel consumption. As a former golf user, I like this vehicle. It is very comfortable and quiet, very good for its money. If I bought a German car with the same features, I would pay at least 400 thousand."
hyundai,"If I buy the hyundai h100 as a 94 model, what is your advice? should I take it?"
hyundai,Is it possible to reduce 2006 h100 fuel?
hyundai,"If you don't exceed 6-8 thousand km a year, you can ride without throwing a tube, since I usually use outside of the city, the fuel is not much different from a normal gasoline. I bought an elite package for 253 thousand. The price of the vehicle remains cheap when comfort and especially when considered together, so even if the urban fuel consumption is high, while buying the vehicle You won't regret it if you choose it because it's convenient."
hyundai,"friends using bayon, can you give information on how the traction on the ramps"
hyundai,"check the motor vehicle tax, it should be 4200 TL per year, decide accordingly, I think they will get it."
hyundai,How many disability reports do you need to get this car?
hyundai,"Which of these are the models that are kept, also the 2016 appearance is better, I like the front of the vehicle very much, the back is beautiful, but 2020 is not so beautiful"
hyundai,"I'm thinking of buying a hyundai tucson 2021 diesel elite model, especially I would like to benefit from the experiences of my friends who use the 2021 model and use it within the given km limits, thanks in advance"
hyundai,I wonder how much was the lowest automatic i20 prices with the decrease of ÖTV?
hyundai,i 10 1 0 how is engine traction
hyundai,"I couldn't find a part either, I sold it and it's gone"
hyundai,"I am wondering how the opinions about hybrid are, can anyone share their ideas with us?"
hyundai,"very good in terms of comfort, Ankara-Istanbul 5 burned 6 liters of fuel. When used between 85-100 km, air-conditioned Istanbul city soft use 7 5 liters of medium traffic 8-8 5 can be seen"
hyundai,"Hello friends, I have a 2019 model Kona too. When I start the car for the first time, the engine makes a clicking sound for 4-5 seconds. Do you have the same sound?"
hyundai,"We want the i20 n model, why are you excluding us, why will you only sell it to Europe?"
hyundai,"The price is good. 2015 model, I found it for 103 thousand TL. The km is 158 thousand. Would you recommend it?"
hyundai,"As soon as I bought the vehicle from Izmir, I stayed in traffic for 2 hours on the highway. Average fuel is 10 3 liters. I will plant a fig tree in my furnace if it goes like this, but for the style package, equipment and comfort are excellent."
hyundai,"how much is the curb weight, how many is written on the license this h 100's thanks"
hyundai,"Hello, I'm thinking 2012 or 2014 accent blue automatic, can you tell me your ideas?"
hyundai,"I've been riding in 2015 diesel automatic mode pluse 136 hp. There is a powerful engine in this vehicle for a year. The chassis is light, so it is very agile and fast car comfort. 7 out of 10, if there was comfort with a bidet, it would be more expensive. Ideal for those who do not want to escape to luxury, especially in city traffic."
hyundai,"hello friends, I'm thinking of buying the new huyundai i20 1 0 turbo petrol, can you tell me your opinion and information if you have it"
hyundai,"I'm on the eve of buying a 2021 elantra, I'll never try it, what kind of vehicle is it if I buy a manual?"
hyundai,Didn't they put this vehicle in the crash test? Euro Ncap score was not given
hyundai,I want to buy hyundai accent blue manual diesel lpg and which package would you recommend thank you
hyundai,"I bought an i20 activ in may 2017, it's a handsome car, I'm very happy I bought it, very useful"
hyundai,"I have filled the tank twice since the day I bought the vehicle, 300 plus 300 total 600, now the tank is halfway and the km done consumes a lot of 270 gasoline and on the slopes 1 gear shifts to 2 immediately, the service will look at it, this is not normal, come on."
hyundai,"The dealers sell it to earn a lot because of ÖTV, I wonder who they will sell that car when it reaches 300 thousand, the car is nice, but the engine is weak, the only flaw of this vehicle"
hyundai,"I bought a new elentra in July 2021, the vehicle was consuming too much fuel, I said it was new, then the oxygen sensor malfunctioned, it became clear why the fuel burned too much, I am waiting for the part to arrive, when I ask the service, there may be electronic problems."
hyundai,"It's been 1 month 2020 I bought 0 kona style traction is very good on the ramps I hope the fuel will decrease in time around 7 gear shifts are very good but in the 2020 model car there is no 4-window automatic feature, no window opening and closing from the remote, my disadvantage is that even in the empty package of 2010 focus, it was 4-window automatic"
hyundai,"I bought the vehicle this morning, elite equipment, i̇stanbul Şile, the driving and other features are super working, air-conditioned, I went and came and I think it's fine with 5 5 fuel, I think it's fine if you drive a little on the ramps, you can find 6s for this price, I think it's a good vehicle for this exterior and interior design."
hyundai,"With 1 4 engines, this vehicle will not eat 1 0 engine will not sell 300 thousand, that's all."
hyundai,Is it a super vehicle?
hyundai,"2018 hyundai i20 1 4 style automatic transmission ""petrol\lpg"", do you think I've never ridden before, I don't know the way of comfort, can you let me know"
hyundai,"On the long road, I tried 5 3 air conditioners on, it is very nice and comfortable, I recommend it to friends, price performance product"
hyundai,"I bought 2021 model hyundai i20 automatic transmission 1 4 style, this equipment is not available in any of its competitors, the road holding acceleration comfort is very good, I think it looks very stylish from the outside, I recommend the white color"
hyundai,"I'm thinking of buying a 2018 hyundai i20 1 4 style automatic, do you think I've never ridden before, I don't know the comfort route"
hyundai,"I took a test drive today, but (very uncomfortable in the city, 8 5 or so, the dealer said."
hyundai,I think it would be better if they write what they like or dislike about this.
hyundai,1998 model air conditioner?
hyundai,"in a word, it's number 10, 2008, I've been riding since 9 years, of course, it gave minor malfunctions, but whatever vehicle you drive, there will be minor malfunctions, let's not exaggerate the fuel situation, my friends."
hyundai,"The fuel consumption is normal in the city, the average is around 7 5, my friend said"
hyundai,hello how is the fuel consumption?
hyundai,"Dear editor, how many times have I been commenting, why isn't it published?"
hyundai,"I bought 2021, even though it's an atmospheric engine, it's going well, long distance 120 fixed 6 liters - if you press it, it burns 8 5 liters, the outside is exaggerated, the inside is very large and spacious"
hyundai,2021 model hyundai i20 automatic gearbox 1 4 style 6 forward no parts stay away part is not available in turkey it will come from abroad in 3 months don't get it out of the garage does a vehicle have a water radiator?
hyundai,"We bought the 2021 model new tucson elite package. We stayed a long time between 3008 and tucson, but the inside of the 3008 felt dark and narrow, frankly, when I got into the tucson, it gives a premium feel. In terms of fuel, the performance is eco at 800 km. rear signals halogen bidet ambience could be better interior and exterior design successful on the road you see the car attracts attention and people turn around"
hyundai,"friends, on the bad road, there is a sound from the right side of the trunk, it is very disturbing, yet my car is 3000 km, is this sound common or is it related to my car?"
hyundai,"I'm thinking of buying 2016 elantra style petrol/lpg, the km is low right now I have 2012 accent blue diesel and I'm thinking of selling it, what do you think?"
hyundai,"Where is the part? It's easy to find. In Turkey, the car doesn't even have a shaft joint. It's ordered from Korea. The room says it may take 2 to 3 months. Don't give it to service. The cars are very nice, they don't have any parts. These vehicles are used as a work car."
hyundai,"As the owner of Kona, I wanted to share 2 features that I did not know but learned later, 1 of them is activated by long pressing the cruise control button, the speed limiting is activated, and 2 of them are canceling the lane keeping assistant when the steering wheel button on the steering wheel is long pressed (I was always doing this from the menu."
hyundai,"I've been using it for about 1 month in 2021, the first and most important problem is the fuel 9 lt and above, the lack of fog lights, the first of the flaws is no self-parking feature, the interior noise lighting is insufficient, the reversing lights are very inadequate, the lighting of the outer door openers is applied only on 2 front doors, the glove compartment is non-functional plus There is an excellent driving control system (the elite plus camera system is excellent, the music system is satisfactory (a d blue was unnecessary)"
hyundai,"hunda is a vehicle that every driver would like and want to buy, but it leaves a question mark in mind due to the metaphorical attitudes of the dealers, thank you hundai"
hyundai,very nice vehicle
hyundai,I bought a 2014 1 6 crdi elantra comfortable large quiet and powerful car fuel acceleration is very good
hyundai,"elantra 2020 gasoline style plus automatic car burns 11lt average in the city at 23 000 km, I'll have lpg installed."
hyundai,"hello, I have 2011 mode hundai accent blue, comfort is good, the running is good, but the brakes did not leave me satisfied, I think the brakes could be good, other than that, I recommend it. It is a very reasonable vehicle for its price."
hyundai,"I tested the elite plus, it's nice, easy to use and the quality feel is not bad, but at this price, there are many alternatives, hundai should review the price policy in turkey, I guess they would have added some security to the gasoline one from the sales, of course, if it was the same price, I would have bought the elite plus almost in today's conditions. it contains everything that should be, but the price is unreasonable, it should be in the 480-490 band at the most"
hyundai,"I bought a 2021 hyundai tucson, the price is 549 000 TL, but the dealers sell 557 500 TL with ceramic coating, bottom sound insulation and glass ceiling and side mirrors with film coating, they do not sell vehicles without doing this, they gave a price of 560 000 TL directly at another dealer, the vehicle is very full and comfortable, a single handicap apple carplay you can connect with usb cable i recommend it is a nice tool"
hyundai,"friends, which one would you recommend between kona 1 0 style and kamiq 1 0 elite?"
hyundai,"What is the color illogicality in these houses, my ceramic blue vehicle is green on the license, another friend's forest black says green on the certificate of conformity, if there are other ceramic blue cones, we would be pleased if they could tell what it says on the license."
hyundai,2021 model i20 1 4mpi 6 forward straight mt jump
hyundai,"my martyr's relative friend bought the car for 399 900 liras for 220 thousand liras, it costs 188 230 with the normal calculation, thank you for the information."
hyundai,"hello, my 2020 kona elite smart dct vehicle started to make knocking noises from the engine after 5 thousand km, I saw that my vehicle leaked palm oil a couple of times while parked, the first second third gear shifts jerkily during the transitions, the car was shaking, I took it to the service, there is no problem, there is only loosening in the screw. so he said it leaked oil, but the complaints on my vehicle continue."
hyundai,"hello, 2021 model i20 1 4mpi 6 forward straight mt jump (gasoline 168 550 tl 146 834 tl I will buy a car for the first time, I will buy a car for the first time, it took 2nd hand prices, walked in the range of 150 thousand TL, would it not be more logical to buy a new car instead of buying 2 hands? How is the fuel consumption of the vehicle?"
hyundai,"How is the hyundai h100 94 model, is the car solid or does it malfunction? I will buy it as shipping. My budget is very limited. I will buy it in the hope of bread."
hyundai,"The 2020 model has been 2 months, I bought it new, it's not such a low car, but there is a little suspension hardness, there is a tire sound, I think a little suspension in the car, the elite full model I have"
hyundai,slm friends hyundai double cabin 2007 air-conditioned vehicles how much fuel burns your advice
hyundai,"hello, what would be the price of the automatic transmission vehicle with a discount ÖTV, thank you"
hyundai,"I ordered 1 0 forest black for 2021 kona, I was very torn between the arona fr package and this vehicle, both were the same price, as a result of long researches and the feedback I received from the people who introduced the vehicle on youtube, I ordered 1 0 at the end of the month, gb delivery, in my previous 2 vehicles, 1 0 engine was definitely 1 6 diesel gb is going don't worry (my previous vehicles are 1 0 i20 1 0 ecosport"
hyundai,gearbox single clutch outdated
hyundai,I think the i20 is the most feature-packed sports vehicle that can be purchased according to the prices in the market.
hyundai,"kona 1 0 automatic users' opinions about the vehicle, especially fuel performance, etc."
hyundai,"I bought a 2021 model i20 1 4 style automatic 2 weeks ago, the fuel consumption is close to the factory data, it can find 10-11 liters if you use it constantly in heavy traffic in the city and if you use short distances, but on the same road, 16 diesel vehicles burned 7-8 liters, I researched while buying the vehicle, there are 2 negative aspects It takes the road noise a bit too much and the shock absorbers are a bit harsh, apart from that, it is a very successful vehicle, also the closest equivalent vehicles are 30-40 thousand TL more expensive if we consider the f / p vehicle"
hyundai,"friend, I have 4 of this vehicle, 1 i 2015 3 u 2017 model or friend, I can't find a part for this vehicle even from an authorized dealer."
hyundai,take it easy i have h100 2004 model panel van which engine oil should i use
hyundai,"phone to the dealer, don't have a car One of them was 160 dio and Ikigun was gone, the same car was 170, what a shame."
hyundai,"I used the 2017 model 1 2 elite model for 3 years, now I sold it and bought the 2021 elite model, I recommend a very modern and super vehicle"
hyundai,"I bought tucson gasoline 2020, with a report, on November 11, the car is beautiful, but cook cook burns"
hyundai,"I want to buy hundai tucson, do you advise me to buy petrol or diesel?"
hyundai,"I am the first owner of my 2012 model hyundai i20 jump automatic transmission vehicle. I can only go 120 km with 100 TL gasoline, so I can only go 120 km with 14 liters of gasoline. This is not very abnormal, what should I do?"
hyundai,"We are considering a tucson model, but after seeing the 2021 case, we were undecided, is anyone using the 2020 case?"
hyundai,"I'm using 2020 Kona Elite Smart, it was 9000 km when I bought it, the adblue indicator was half, now it shows 4/1, is this normal, by the way, performance is number ten, I recommend it."
hyundai,"the price of tuscon with a report does not match each other guys, they have created a system, but do not fall on their hands, I am waiting for information from my dear brothers or sisters here, if there is a report, how much will we give and how much will we get?"
hyundai,"friends, can someone help me, how many liras will we get if this raconu is reported?"
hyundai,"I bought a 2021 model i20, I'm very satisfied, I love it, hyundai made a discount"
hyundai,"I have been using the 1 6 automatic smart model for 9 months, the city fuel consumption has dropped to 5 8 after 6000 km, it is an excellent vehicle, except for the small trunk, I recommend it to everyone"
hyundai,the product is good quality but not enough for the price wasted money
hyundai,"friends, it has been two months, I am using the 2017 jump diesel manual model, the type and fuel of the vehicle is not bad, but the body of the vehicle is very poor and the engine sound is too much, you can officially feel the roads. Also, while the vehicle is running, it is as if the electric vacuum cleaner is working in the vehicle, I went to the service and they said that there is that type of sound, thanks"
hyundai,"I have a 2016 model i20 automatic car, when I put the car in p mode, when I look at the oven, it makes a heavy sound."
hyundai,"I bought the ceramic blue one 1 month ago. My request from friends who bought the same color is green in the license, I am waiting for an urgent response"
hyundai,"hello friends, I have a 2015 model i30 elite plus."
hyundai,the car i bought today 1 0 automatic start very good speedlwnmw very good first 100km normal version 6lt the next 100km I drove with at least 180 90lt fuel is very good than I expected the price is also affordable
hyundai,"I ordered 1 0 120 hp automatic, I hope it is good, anyone who has knowledge"
hyundai,"I bought the ceramic blue one, the vehicle is super all kinds"
hyundai,"I have been using it for 4 years, it is an extremely comfortable vehicle, ideal for women, I recommend it, I do not have parking problems, I think for families with children"
hyundai,"Friends, I also want to buy Tucson with a disability report, some friends say that the engine is warming up, my friends, if they can help, I would appreciate it and how is the fuel situation, thank you."
hyundai,"I bought the i20 active, which I bought 1 4 elite smart package in july, I liked it and bought it, it's very handsome appearance, comfort of use, I use it with all kinds of interior and exterior equipment, I use it with lpg at 3000 km, km in the city 35 cents on the long road, it burns an average of 30 cents, I definitely recommend"
hyundai,"hello, when I saw the i20 active vehicle, I researched it as a super model and bought 0 model in July 2020 because the driving was good, the interior equipment was useful and affordable compared to its peers, and I liked it even more after I bought it. After using 3000 km, I had Atiker LPG installed, which I learned was suitable for the vehicle. It doesn't pass, it burns under 30 cents on the long road, I definitely recommend it"
hyundai,Is there a hyundai elantra price list?
hyundai,"In December 2020, I bought a tucson pover editon with ÖTV discount from Sivas. When I asked for the price I paid for the price of 1950000, the invoice price of the vehicle without ÖTV, the price difference of 168000, they fired the first accessory invoice of 12000 TL. nice but talk everything while buying friends"
hyundai,"2020 i20 1 4 gasoline automatic from the dealer (I'm thinking of buying the latest case -style design in an old case, 4 speed gearbox, 6 forward in these cases, the price is in the 190 band, but the gasoline atmospheric engine scares me, if there are many users who say that you can't cope with fuel, can I get a comment on this model? I will look at 2020 clio5 1 0 tce petrol vehicles"
hyundai,"The vehicle that I admire is an excellent vehicle, my advice to those who will buy it, do not buy a vehicle without trying henna, I hope good luck to those who buy it."
hyundai,"The vehicle seems to have been deleted from the market, it is not even on hyundai's own site, where did the elantras disappear?"
hyundai,"The vehicle seems to have been deleted from the market, it is not even on hyundai's own site, where did the elantras disappear?"
hyundai,"We had blue, we sold it, but we regretted it, so it was a very agile car."
hyundai,"jump 1 0 mpi 5 straight forward (gasoline a few months ago, I looked at 146 00 TL now 152 000 TL, the price is rising, although the dollar is falling"
hyundai,"Hi friends, I also bought an elite 4x4 2 days ago, 2015 model, don't they have a front parking sensor or if it is externally attached, I would also appreciate the answers with information about who wears it in Konya. Good evening to all of you."
hyundai,"i bought a 2020 4x4 huday tusson, the car is nice, but when going uphill in the snow, the automatic transmission heats up and protects itself, which is a lot of trouble."
hyundai,"unaware of the prices, the site has reduced the price and put it in the 50% tax zone. 240 thousand at the hyundai dealer at the moment, 10 motor automatic style package"
hyundai,Is it economical?
hyundai,"What are the diesel fuel vetileri I will get with 2020 diesel ÖTV discount, friends?"
hyundai,facelifted kona 1.6 diesel 48v hybrid is a great vehicle fuel excellent feature fulll
hyundai,I don't believe in dealers because they don't take care of them until they sell all of them.
hyundai,"friends, is there any area with a report, what is the price of the report, can you help me, it's urgent"
hyundai,"When I get in the i30, it gives the feeling of getting into an armored vehicle, when you press the gas, it feels like you are in a racing car."
hyundai,"good day to all of you friends, I have a b8 case passat tsi automatic transmission vehicle, I am thinking of selling and buying a new tucson, would you recommend it?"
hyundai,"hello, i have a tucson power edition, i couldn't find seat covers in these vehicles, can anyone help me? i live in adana"
hyundai,"I sold the 2016 vw passat highline, I bought the elite package with great pleasure, but the headlights and the trunk upset me, it found 7 000 00, I did the electric trunk and complete led headlights, I don't know how it will be at 300km"
hyundai,Does Tucson 2020 Power Edition Have a Glass Roof?
hyundai,"hi friends, i have 2020 power edition, has anyone had 1 6 t gdi engine tube installed, my car is still 800 km away, is it prins compatible?"
hyundai,"Is the hyundai kona manual coming to turkey, how do you think the car"
hyundai,take it regret not take it regret why
